ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1436044_at	0.1477	1.19e-05	-1.64e+01	4.045353	-1.96	Scn7a	sodium channel, voltage-gated, type VII, alpha
1420544_at	0.1481	1.22e-05	1.63e+01	4.024691	2.48	Gcsam	germinal center associated, signaling and motility
1428861_at	0.1514	1.28e-05	-1.62e+01	3.989078	-1.81	Filip1l	filamin A interacting protein 1-like
1449699_s_at	0.1547	1.34e-05	1.60e+01	3.954384	1.52	C330027C09Rik	RIKEN cDNA C330027C09 gene
1441163_at	0.1555	1.37e-05	1.60e+01	3.932352	1.74	Med12l	mediator complex subunit 12-like
1416130_at	0.1585	1.43e-05	1.58e+01	3.899926	1.85	Prnp	prion protein
1456367_at	0.1588	1.49e-05	1.57e+01	3.86678	1.90	Fut8	fucosyltransferase 8
1448929_at	0.1588	1.52e-05	1.56e+01	3.852284	1.78	F13a1	coagulation factor XIII, A1 subunit
1423909_at	0.1588	1.55e-05	1.56e+01	3.834249	4.32	Tmem176a	transmembrane protein 176A
1417818_at	0.1588	1.57e-05	-1.55e+01	3.825994	-3.70	Wwtr1	WW domain containing transcription regulator 1
1419226_at	0.1588	1.61e-05	1.55e+01	3.808513	1.72	Cd96	CD96 antigen
1449382_at	0.1588	1.62e-05	1.54e+01	3.800822	1.63	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
1446509_at	0.1627	1.69e-05	1.53e+01	3.765807	1.58	Smox	spermine oxidase
1417910_at	0.1633	1.80e-05	1.51e+01	3.717472	2.11	Ccna2	cyclin A2
1448914_a_at	0.1633	1.80e-05	-1.51e+01	3.71684	-1.50	Csf1	colony stimulating factor 1 (macrophage)
1460319_at	0.1633	1.86e-05	1.50e+01	3.689676	1.76	Fut8	fucosyltransferase 8
1428940_at	0.1633	1.87e-05	-1.50e+01	3.686741	-2.40	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1429171_a_at	0.1633	1.93e-05	1.49e+01	3.660643	1.69	Ncapg	non-SMC condensin I complex, subunit G
1449141_at	0.1633	1.94e-05	-1.49e+01	3.653348	-2.45	Fblim1	filamin binding LIM protein 1
1453602_at	0.1633	2.00e-05	-1.48e+01	3.630761	-2.60	Zc2hc1c	zinc finger, C2HC-type containing 1C
1419564_at	0.1633	2.00e-05	-1.48e+01	3.627881	-2.03	Zfp467	zinc finger protein 467
1448113_at	0.1633	2.01e-05	1.48e+01	3.624523	1.70	Stmn1	stathmin 1
1445467_at	0.1633	2.02e-05	1.48e+01	3.621413	1.57		
1436717_x_at	0.1691	2.13e-05	1.46e+01	3.576659	3.05	Hbb-y	hemoglobin Y, beta-like embryonic chain
1455729_at	0.1691	2.16e-05	-1.46e+01	3.564382	-3.03	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1437920_at	0.1691	2.19e-05	-1.45e+01	3.553946	-1.76	Epha5	Eph receptor A5
1419297_at	0.1728	2.27e-05	1.44e+01	3.523112	1.69	H2-Oa	histocompatibility 2, O region alpha locus
1449936_at	0.1779	2.38e-05	1.43e+01	3.486128	2.83	Fam234b	family with sequence similarity 234, member B
1428361_x_at	0.1788	2.43e-05	1.42e+01	3.465684	2.40	Hba-a2///Hba-a1	hemoglobin alpha, adult chain 2///hemoglobin alpha, adult chain 1
1453721_a_at	0.1788	2.49e-05	-1.42e+01	3.446178	-1.82	Slc31a2	solute carrier family 31, member 2
1426852_x_at	0.1788	2.49e-05	1.42e+01	3.445726	2.49	Nov	nephroblastoma overexpressed gene
1440200_at	0.1795	2.54e-05	1.41e+01	3.430538	2.32	Fam184b	family with sequence similarity 184, member B
1416120_at	0.1873	2.68e-05	1.40e+01	3.382676	1.83	Rrm2	ribonucleotide reductase M2
1449335_at	0.1929	2.84e-05	1.38e+01	3.335374	1.75	Timp3	tissue inhibitor of metalloproteinase 3
1449049_at	0.1929	2.91e-05	-1.38e+01	3.314038	-2.23	Tlr1	toll-like receptor 1
1443673_x_at	0.1929	2.91e-05	1.38e+01	3.312675	1.30		
1420799_at	0.1929	2.93e-05	1.37e+01	3.306121	2.37	Ntsr1	neurotensin receptor 1
1424050_s_at	0.1929	2.99e-05	-1.37e+01	3.290038	-1.31	Fgfr1	fibroblast growth factor receptor 1
1438645_x_at	0.1929	2.99e-05	-1.37e+01	3.289611	-2.05	Bace2	beta-site APP-cleaving enzyme 2
1438763_at	0.1967	3.13e-05	1.36e+01	3.250558	1.63	Dnah2	dynein, axonemal, heavy chain 2
1417932_at	0.1967	3.16e-05	-1.35e+01	3.242755	-1.47	Il18	interleukin 18
1450758_at	0.1967	3.18e-05	1.35e+01	3.235687	2.09	Cntnap2	contactin associated protein-like 2
1429559_at	0.1967	3.32e-05	-1.34e+01	3.199536	-3.28	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1430062_at	0.1967	3.32e-05	1.34e+01	3.19886	2.56	Hhipl1	hedgehog interacting protein-like 1
1417938_at	0.1967	3.33e-05	1.34e+01	3.19661	1.67	Rad51ap1	RAD51 associated protein 1
1420796_at	0.1967	3.36e-05	1.34e+01	3.189598	1.43	Ahrr	aryl-hydrocarbon receptor repressor
1427802_a_at	0.1967	3.36e-05	-1.34e+01	3.188891	-4.13	Tcrg-V4	T cell receptor gamma, variable 4
1437782_at	0.1997	3.45e-05	1.33e+01	3.16558	1.34	Cntnap2	contactin associated protein-like 2
1419534_at	0.2006	3.51e-05	-1.33e+01	3.151683	-2.79	Olr1	oxidized low density lipoprotein (lectin-like) receptor 1
1436173_at	0.2034	3.65e-05	1.31e+01	3.11584	2.83	Dlc1	deleted in liver cancer 1
1456404_at	0.2034	3.68e-05	-1.31e+01	3.108181	-1.83	Adamts5	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
1428058_at	0.2034	3.71e-05	-1.31e+01	3.101394	-1.47	Ahnak	AHNAK nucleoprotein (desmoyokin)
1433388_at	0.2034	3.73e-05	-1.31e+01	3.097385	-2.92	2900022M07Rik	RIKEN cDNA 2900022M07 gene
1418829_a_at	0.2034	3.82e-05	-1.30e+01	3.076763	-2.28	Eno2	enolase 2, gamma neuronal
1439603_at	0.2034	3.86e-05	-1.30e+01	3.066655	-3.40	Gm13446	predicted gene 13446
1434703_at	0.2034	3.88e-05	-1.30e+01	3.061354	-1.27	Extl3	exostoses (multiple)-like 3
1427329_a_at	0.2034	3.89e-05	1.30e+01	3.059571	2.17	Ighm	immunoglobulin heavy constant mu
1427345_a_at	0.2034	3.94e-05	1.29e+01	3.048144	2.67	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1
1426851_a_at	0.2034	3.99e-05	1.29e+01	3.037471	2.43	Nov	nephroblastoma overexpressed gene
1441727_s_at	0.2034	4.02e-05	-1.29e+01	3.030896	-1.83	Zfp467	zinc finger protein 467
1439397_at	0.2034	4.05e-05	-1.29e+01	3.024631	-1.62	Fmn1	formin 1
1450020_at	0.2034	4.13e-05	1.28e+01	3.006902	3.76	Cx3cr1	chemokine (C-X3-C motif) receptor 1
1458329_x_at	0.2034	4.14e-05	-1.28e+01	3.004326	-4.02	Duxbl3///Duxbl2///Duxbl1	double homeobox B-like 3///double homeobox B-like 2///double homeobox B-like 1
1424966_at	0.2034	4.19e-05	-1.28e+01	2.99442	-1.33	Tmem40	transmembrane protein 40
1448928_at	0.2034	4.19e-05	1.28e+01	2.993141	1.51	Hdac6	histone deacetylase 6
1419717_at	0.2037	4.24e-05	-1.28e+01	2.983473	-4.91	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1449156_at	0.2047	4.30e-05	1.27e+01	2.970797	1.45	Ly9	lymphocyte antigen 9
1418095_at	0.2061	4.37e-05	1.27e+01	2.956257	6.53	Smpx	small muscle protein, X-linked
1435172_at	0.212	4.54e-05	1.26e+01	2.922596	2.47	Eomes	eomesodermin
1449187_at	0.2143	4.63e-05	-1.25e+01	2.904457	-1.25	Pdgfa	platelet derived growth factor, alpha
1458813_at	0.2164	4.71e-05	1.25e+01	2.887847	4.61	Scn5a	sodium channel, voltage-gated, type V, alpha
1442280_at	0.2188	4.90e-05	1.24e+01	2.852336	1.97	Knstrn	kinetochore-localized astrin/SPAG5 binding
1448664_a_at	0.2188	4.92e-05	-1.24e+01	2.84998	-2.53	Speg	SPEG complex locus
1416612_at	0.2188	4.94e-05	1.24e+01	2.846495	3.37	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1
1440938_at	0.2188	4.94e-05	1.24e+01	2.845881	1.85	Treml2	triggering receptor expressed on myeloid cells-like 2
1453851_a_at	0.2231	5.13e-05	1.23e+01	2.811192	2.12	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma
1426081_a_at	0.2231	5.14e-05	1.23e+01	2.809321	3.70	Dio2	deiodinase, iodothyronine, type II
1451139_at	0.2231	5.17e-05	1.23e+01	2.804702	1.56	Slc39a4	solute carrier family 39 (zinc transporter), member 4
1420065_at	0.2278	5.32e-05	-1.22e+01	2.777913	-2.77	Tktl1	transketolase-like 1
1441811_x_at	0.2283	5.38e-05	1.22e+01	2.768411	3.78	Tmem176a	transmembrane protein 176A
1425967_a_at	0.23	5.51e-05	-1.21e+01	2.746578	-4.86	Mcpt4	mast cell protease 4
1451827_a_at	0.23	5.52e-05	1.21e+01	2.74459	1.62	Nox4	NADPH oxidase 4
1438934_x_at	0.23	5.56e-05	1.21e+01	2.738574	1.53	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
1419089_at	0.23	5.60e-05	1.21e+01	2.731577	1.51	Timp3	tissue inhibitor of metalloproteinase 3
1451475_at	0.2309	5.69e-05	-1.20e+01	2.716178	-1.55	Plxnd1	plexin D1
1418084_at	0.2309	5.71e-05	-1.20e+01	2.713432	-2.92	Nrp1	neuropilin 1
1441060_at	0.2328	5.80e-05	-1.20e+01	2.6986	-1.01	2900052L18Rik	RIKEN cDNA 2900052L18 gene
1447096_at	0.2332	5.86e-05	-1.20e+01	2.689822	-1.33		
1435286_at	0.2369	6.01e-05	-1.19e+01	2.665889	-2.11	Epha5	Eph receptor A5
1427351_s_at	0.2369	6.09e-05	1.19e+01	2.65439	4.11	Ighm	immunoglobulin heavy constant mu
1433419_at	0.2369	6.14e-05	1.19e+01	2.64733	2.47	4930405A07Rik	RIKEN cDNA 4930405A07 gene
1442582_at	0.2369	6.26e-05	1.18e+01	2.628352	2.48	Gcsam	germinal center associated, signaling and motility
1439470_at	0.2369	6.27e-05	1.18e+01	2.628073	1.45		
1437477_at	0.2369	6.27e-05	-1.18e+01	2.627421	-1.03	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1
1452314_at	0.2369	6.28e-05	1.18e+01	2.62611	1.87	Kif11	kinesin family member 11
1422798_at	0.2373	6.38e-05	1.18e+01	2.611708	1.95	Cntnap2	contactin associated protein-like 2
1417585_at	0.2373	6.49e-05	1.17e+01	2.596124	1.80	Nup210	nucleoporin 210
1425155_x_at	0.2373	6.50e-05	-1.17e+01	2.594546	-1.39	Csf1	colony stimulating factor 1 (macrophage)
1435692_at	0.2373	6.51e-05	-1.17e+01	2.593328	-1.48	Kctd21	potassium channel tetramerisation domain containing 21
1451546_s_at	0.2373	6.58e-05	-1.17e+01	2.582826	-1.68	Tmem40	transmembrane protein 40
1437155_a_at	0.2373	6.61e-05	-1.17e+01	2.578066	-3.18	Wwtr1	WW domain containing transcription regulator 1
1449567_at	0.2373	6.65e-05	-1.17e+01	2.572683	-2.22	Tktl1	transketolase-like 1
1426715_s_at	0.2373	6.66e-05	-1.17e+01	2.571035	-1.76	Slc46a1	solute carrier family 46, member 1
1436117_at	0.2373	6.71e-05	-1.16e+01	2.564891	-1.14	A830010M20Rik	RIKEN cDNA A830010M20 gene
1420688_a_at	0.2395	6.82e-05	-1.16e+01	2.549475	-1.77	Sgce	sarcoglycan, epsilon
1455697_at	0.2395	6.87e-05	-1.16e+01	2.543158	-1.80	Fam124a	family with sequence similarity 124, member A
1436207_at	0.24	6.93e-05	-1.16e+01	2.534954	-1.92	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)
1434592_at	0.2458	7.21e-05	1.15e+01	2.497277	1.42	Slc16a10	solute carrier family 16 (monocarboxylic acid transporters), member 10
1458129_at	0.2458	7.23e-05	1.15e+01	2.495339	4.65	Rora	RAR-related orphan receptor alpha
1450621_a_at	0.2458	7.30e-05	1.14e+01	2.48534	2.79	Hbb-y	hemoglobin Y, beta-like embryonic chain
1438076_at	0.2458	7.35e-05	1.14e+01	2.479964	1.20	Gm7429///Gm6570///Gm6109///Gm5481///Rpl30	predicted pseudogene 7429///predicted gene 6570///predicted gene 6109///predicted gene 5481///ribosomal protein L30
1444176_at	0.2458	7.35e-05	-1.14e+01	2.479716	-2.24	Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2
1431980_a_at	0.2458	7.38e-05	-1.14e+01	2.475171	-1.31	As3mt	arsenic (+3 oxidation state) methyltransferase
1436755_at	0.247	7.47e-05	1.14e+01	2.464526	1.17	Itih5	inter-alpha (globulin) inhibitor H5
1435402_at	0.2474	7.62e-05	-1.14e+01	2.445809	-1.22	Gramd1b	GRAM domain containing 1B
1458159_at	0.2474	7.64e-05	-1.13e+01	2.443535	-2.62		
1420802_at	0.2474	7.73e-05	-1.13e+01	2.431863	-1.39	Il13	interleukin 13
1457491_at	0.2474	7.91e-05	-1.13e+01	2.410577	-1.33	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
1450790_at	0.2474	7.98e-05	1.12e+01	2.401975	1.79	Tg	thyroglobulin
1448785_at	0.2474	8.01e-05	1.12e+01	2.39858	2.60	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1437151_at	0.2474	8.08e-05	-1.12e+01	2.390839	-1.25	Usp22	ubiquitin specific peptidase 22
1424471_at	0.2474	8.11e-05	-1.12e+01	2.387074	-1.62	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
1444690_at	0.2474	8.12e-05	-1.12e+01	2.38616	-1.74	Epha5	Eph receptor A5
1449007_at	0.2474	8.15e-05	1.12e+01	2.382561	1.33	Gm7334///Btg3	B-cell translocation gene 3 pseudogene///B cell translocation gene 3
1450544_at	0.2474	8.25e-05	1.12e+01	2.370812	1.50	Efcc1	EF hand and coiled-coil domain containing 1
1428938_at	0.2474	8.27e-05	-1.12e+01	2.368559	-2.72	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1455618_x_at	0.2474	8.30e-05	1.12e+01	2.364937	3.00	Tspan33	tetraspanin 33
1427982_s_at	0.2474	8.32e-05	-1.12e+01	2.362974	-1.68	Syne2	spectrin repeat containing, nuclear envelope 2
1448925_at	0.2474	8.32e-05	1.12e+01	2.362346	1.88	Twist2	twist basic helix-loop-helix transcription factor 2
1422138_at	0.2474	8.34e-05	-1.11e+01	2.360097	-1.38	Plau	plasminogen activator, urokinase
1433719_at	0.2474	8.35e-05	1.11e+01	2.358939	1.80	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9
1416673_at	0.2474	8.36e-05	-1.11e+01	2.358734	-2.03	Bace2	beta-site APP-cleaving enzyme 2
1423276_at	0.2515	8.54e-05	-1.11e+01	2.337734	-3.59	Ildr1	immunoglobulin-like domain containing receptor 1
1423258_at	0.2531	8.69e-05	1.11e+01	2.321403	2.52	Syt9	synaptotagmin IX
1455450_at	0.2531	8.70e-05	-1.11e+01	2.320986	-2.27	Ptpn3	protein tyrosine phosphatase, non-receptor type 3
1423626_at	0.2534	8.78e-05	1.10e+01	2.312041	1.12	Dst	dystonin
1452040_a_at	0.2534	8.81e-05	1.10e+01	2.309077	2.28	Cdca3	cell division cycle associated 3
1423231_at	0.2538	8.92e-05	1.10e+01	2.296766	2.61	Nrgn	neurogranin
1435411_at	0.2538	8.92e-05	-1.10e+01	2.296672	-2.17	Neurod2	neurogenic differentiation 2
1440801_s_at	0.2545	9.04e-05	1.10e+01	2.284106	3.01	Adrbk2	adrenergic receptor kinase, beta 2
1433813_at	0.2545	9.04e-05	1.10e+01	2.283519	1.24	Ndc1	NDC1 transmembrane nucleoporin
1443016_at	0.2583	9.23e-05	1.09e+01	2.264281	1.26		
1428480_at	0.259	9.31e-05	1.09e+01	2.256355	9.32e-01	Cdca8	cell division cycle associated 8
1428923_at	0.2591	9.39e-05	-1.09e+01	2.247556	-1.40	Ppp1r3g	protein phosphatase 1, regulatory (inhibitor) subunit 3G
1417903_at	0.2591	9.45e-05	-1.09e+01	2.241875	-1.11	Dfna5	deafness, autosomal dominant 5 (human)
1459885_s_at	0.2591	9.46e-05	1.09e+01	2.240434	1.18	Cox7c	cytochrome c oxidase subunit VIIc
1441015_at	0.2592	9.52e-05	1.09e+01	2.235176	2.37		
1429281_at	0.2616	9.66e-05	-1.08e+01	2.221187	-1.23	2610008E11Rik	RIKEN cDNA 2610008E11 gene
1442056_at	0.2635	9.82e-05	-1.08e+01	2.205102	-2.04		
1433525_at	0.2635	9.83e-05	1.08e+01	2.204057	1.32	Ednra	endothelin receptor type A
1416654_at	0.2674	1.00e-04	-1.07e+01	2.183173	-1.47	Slc31a2	solute carrier family 31, member 2
1443604_at	0.2674	1.01e-04	1.07e+01	2.179534	2.20		
1438210_at	0.2674	1.02e-04	1.07e+01	2.170211	1.73	Gpr149	G protein-coupled receptor 149
1422814_at	0.2674	1.03e-04	1.07e+01	2.158795	1.50	Aspm	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
1451353_at	0.2674	1.03e-04	-1.07e+01	2.157379	-1.35	Tm6sf1	transmembrane 6 superfamily member 1
1424278_a_at	0.2674	1.03e-04	1.07e+01	2.157272	2.35	Birc5	baculoviral IAP repeat-containing 5
1437529_at	0.2674	1.04e-04	-1.07e+01	2.152106	-5.08	Mrgprb1	MAS-related GPR, member B1
1426001_at	0.2674	1.04e-04	1.07e+01	2.146048	2.50	Eomes	eomesodermin
1441362_at	0.2674	1.05e-04	-1.06e+01	2.140551	-1.10		
1437724_x_at	0.2674	1.05e-04	-1.06e+01	2.140042	-1.10	Pitpnm1	phosphatidylinositol transfer protein, membrane-associated 1
1438399_at	0.2674	1.06e-04	-1.06e+01	2.136157	-2.09	Pex5l	peroxisomal biogenesis factor 5-like
1438760_x_at	0.2686	1.07e-04	-1.06e+01	2.11883	-1.27	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)
1459744_at	0.2686	1.08e-04	-1.06e+01	2.117994	-1.30	Cd53	CD53 antigen
1420068_at	0.2686	1.08e-04	1.06e+01	2.117534	1.38		
1457063_at	0.2695	1.08e-04	1.06e+01	2.109485	1.00		
1444514_at	0.2696	1.09e-04	1.06e+01	2.103253	9.16e-01		
1446004_at	0.2696	1.10e-04	1.05e+01	2.094707	2.04		
1416630_at	0.2696	1.10e-04	1.05e+01	2.091759	1.77	Id3	inhibitor of DNA binding 3
1426817_at	0.2696	1.11e-04	1.05e+01	2.085729	1.71	Mki67	antigen identified by monoclonal antibody Ki 67
1428851_at	0.2696	1.12e-04	-1.05e+01	2.081807	-9.26e-01	Pxdc1	PX domain containing 1
1428393_at	0.2696	1.12e-04	1.05e+01	2.080144	1.55	Nrn1	neuritin 1
1458039_at	0.2696	1.12e-04	-1.05e+01	2.076664	-1.20		
1426818_at	0.2696	1.13e-04	1.05e+01	2.068993	9.74e-01	Arrdc4	arrestin domain containing 4
1428481_s_at	0.2696	1.13e-04	1.05e+01	2.067055	1.40	Cdca8	cell division cycle associated 8
1449061_a_at	0.2696	1.14e-04	1.05e+01	2.062289	1.54	Prim1	DNA primase, p49 subunit
1429682_at	0.2696	1.14e-04	1.05e+01	2.058558	1.46	Fam46c	family with sequence similarity 46, member C
1430811_a_at	0.271	1.16e-04	1.04e+01	2.042206	2.50	Nuf2	NUF2, NDC80 kinetochore complex component
1452220_at	0.271	1.16e-04	1.04e+01	2.041914	1.17	Dock1	dedicator of cytokinesis 1
1453771_at	0.271	1.17e-04	1.04e+01	2.040302	1.71	Gulp1	GULP, engulfment adaptor PTB domain containing 1
1415949_at	0.2719	1.17e-04	1.04e+01	2.032638	2.51	Cpe	carboxypeptidase E
1422139_at	0.2729	1.19e-04	-1.04e+01	2.020717	-1.42	Plau	plasminogen activator, urokinase
1424704_at	0.2729	1.19e-04	-1.04e+01	2.017065	-2.97	Runx2	runt related transcription factor 2
1415892_at	0.2729	1.19e-04	-1.04e+01	2.015801	-1.48	Sgpl1	sphingosine phosphate lyase 1
1451474_a_at	0.2742	1.21e-04	-1.03e+01	2.006029	-1.23	Parp8	poly (ADP-ribose) polymerase family, member 8
1422016_a_at	0.2742	1.21e-04	1.03e+01	2.001975	1.44	Cenph	centromere protein H
1434881_s_at	0.2742	1.23e-04	1.03e+01	1.990589	1.50	Mir5130///Kctd12	microRNA 5130///potassium channel tetramerisation domain containing 12
1439181_at	0.2742	1.23e-04	-1.03e+01	1.990548	-1.80	Zfp658	zinc finger protein 658
1443027_at	0.2742	1.23e-04	1.03e+01	1.989918	1.56		
1452752_at	0.2785	1.25e-04	-1.03e+01	1.970381	-9.05e-01	P3h1	prolyl 3-hydroxylase 1
1448046_at	0.2786	1.26e-04	1.03e+01	1.965718	2.37		
1440033_at	0.279	1.27e-04	-1.03e+01	1.960181	-1.50		
1434557_at	0.2807	1.28e-04	-1.02e+01	1.947453	-2.08	Hip1	huntingtin interacting protein 1
1451611_at	0.2807	1.28e-04	-1.02e+01	1.945753	-1.34	Pla2g16	phospholipase A2, group XVI
1451210_at	0.2835	1.30e-04	-1.02e+01	1.931171	-1.35	Plpp2	phospholipid phosphatase 2
1453038_at	0.2835	1.31e-04	1.02e+01	1.924484	9.79e-01	Zgrf1	zinc finger, GRF-type containing 1
1422245_a_at	0.2835	1.31e-04	1.02e+01	1.923746	3.12	Mrvi1	MRV integration site 1
1452404_at	0.2869	1.33e-04	1.01e+01	1.907858	2.16	Phactr2	phosphatase and actin regulator 2
1436915_x_at	0.2912	1.36e-04	-1.01e+01	1.889341	-1.50	Laptm4b	lysosomal-associated protein transmembrane 4B
1455795_at	0.2956	1.39e-04	1.01e+01	1.870234	2.43	Dse	dermatan sulfate epimerase
1429097_at	0.2974	1.40e-04	1.00e+01	1.860413	1.45	Rnf150	ring finger protein 150
1425815_a_at	0.3018	1.43e-04	1.00e+01	1.841915	2.47	Hmmr	hyaluronan mediated motility receptor (RHAMM)
1455995_at	0.3026	1.44e-04	9.99	1.835076	2.07	Arfgef3	ARFGEF family member 3
1418072_at	0.3057	1.46e-04	-9.95	1.81827	-9.75e-01	Hist1h2bg///Hist1h2be///Hist1h2bc	histone cluster 1, H2bg///histone cluster 1, H2be///histone cluster 1, H2bc
1454446_at	0.3057	1.46e-04	9.95	1.816964	1.83	4930564B12Rik	RIKEN cDNA 4930564B12 gene
1417911_at	0.3065	1.48e-04	9.94	1.809131	1.72	Ccna2	cyclin A2
1454674_at	0.3065	1.48e-04	-9.93	1.80413	-1.94	Fez1	fasciculation and elongation protein zeta 1 (zygin I)
